Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,21197,122.0,122,,,,,,
,,,,,21234,37.0,37,,,,,,
,,,,,21253,19.0,19,,,,,,
,,,,,21271,18.0,18,,,,,,
,,,,,21359,88.0,88,,,,,,
,,,,,21388,29.0,29,,,,,,
,,,,,21510,122.0,122,,,,,,
,,,,,21531,21.0,21,,,,,,
,,,,,21567,36.0,36,,,,,,
,,,,,21674,107.0,107,,,,,,
,,,,,21779,105.0,105,,,,,,
,,,,,21813,34.0,34,,,,,,
,,,,,21869,56.0,56,,,,,,
,,,,,22000,,,0.16070111095905304,16.67676544189453,16.752002716064453,7.332777976989746,0.3400000000000001,0.0005
